AREA_CNPQ,AREA_CAPES
MATEMÁTICA,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
PROBABILIDADE E ESTATÍSTICA,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
CIÊNCIA DA COMPUTAÇÃO,CIÊNCIA DA COMPUTAÇÃO
ASTRONOMIA,ASTRONOMIA / FÍSICA
FÍSICA,ASTRONOMIA / FÍSICA
QUÍMICA,QUÍMICA
GEOCIÊNCIAS,GEOCIÊNCIAS
BIOLOGIA GERAL,CIÊNCIAS BIOLÓGICAS I
GENÉTICA,CIÊNCIAS BIOLÓGICAS I
MORFOLOGIA,CIÊNCIAS BIOLÓGICAS II
FISIOLOGIA,CIÊNCIAS BIOLÓGICAS II
BIOQUÍMICA,CIÊNCIAS BIOLÓGICAS II
BIOFÍSICA,CIÊNCIAS BIOLÓGICAS II
FARMACOLOGIA,CIÊNCIAS BIOLÓGICAS II
IMUNOLOGIA,CIÊNCIAS BIOLÓGICAS III
MICROBIOLOGIA,CIÊNCIAS BIOLÓGICAS III
PARASITOLOGIA,CIÊNCIAS BIOLÓGICAS III
BOTÂNICA,BIODIVERSIDADE
ZOOLOGIA,BIODIVERSIDADE
ECOLOGIA,BIODIVERSIDADE
OCEANOGRAFIA,BIODIVERSIDADE
ENGENHARIA CIVIL,ENGENHARIAS I
ENGENHARIA SANITÁRIA,ENGENHARIAS I
ENGENHARIA DE TRANSPORTES,ENGENHARIAS I
ENGENHARIA DE MINAS,ENGENHARIAS II
ENGENHARIA DE MATERIAIS E METALÚRGICA,ENGENHARIAS II
ENGENHARIA QUÍMICA,ENGENHARIAS II
ENGENHARIA NUCLEAR,ENGENHARIAS II
ENGENHARIA MECÂNICA,ENGENHARIAS III
ENGENHARIA DE PRODUÇÃO,ENGENHARIAS III
ENGENHARIA NAVAL E OCEÂNICA,ENGENHARIAS III
ENGENHARIA AEROSPACIAL,ENGENHARIAS III
ENGENHARIA ELÉTRICA,ENGENHARIAS IV
ENGENHARIA BIOMÉDICA,ENGENHARIAS IV
MEDICINA,MEDICINA
ODONTOLOGIA,ODONTOLOGIA
FARMÁCIA,FARMÁCIA
ENFERMAGEM,ENFERMAGEM
NUTRIÇÃO,NUTRIÇÃO
SAÚDE COLETIVA,SAÚDE COLETIVA
FONOAUDIOLOGIA,EDUCAÇÃO FÍSICA
FISIOTERAPIA E TERAPIA OCUPACIONAL,EDUCAÇÃO FÍSICA
EDUCAÇÃO FÍSICA,EDUCAÇÃO FÍSICA
AGRONOMIA,CIÊNCIAS AGRÁRIAS I
RECURSOS FLORESTAIS E ENGENHARIA FLORESTAL,CIÊNCIAS AGRÁRIAS I
ENGENHARIA AGRÍCOLA,CIÊNCIAS AGRÁRIAS I
ZOOTECNIA,ZOOTECNIA / RECURSOS PESQUEIROS
RECURSOS PESQUEIROS E ENGENHARIA DE PESCA,ZOOTECNIA / RECURSOS PESQUEIROS
MEDICINA VETERINÁRIA,MEDICINA VETERINÁRIA
CIÊNCIA E TECNOLOGIA DE ALIMENTOS,CIÊNCIA E TECNOLOGIA DE ALIMENTOS
DIREITO,DIREITO
ADMINISTRAÇÃO,"ADMINISTRAÇÃO PÚBLICA  E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO"
TURISMO,"ADMINISTRAÇÃO PÚBLICA  E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO"
ECONOMIA,ECONOMIA
ARQUITETURA E URBANISMO,"ARQUITETURA, URBANISMO E DESIGN"
PLANEJAMENTO URBANO E REGIONAL,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA
DEMOGRAFIA,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA
CIÊNCIA DA INFORMAÇÃO,COMUNICAÇÃO E INFORMAÇÃO
MUSEOLOGIA,COMUNICAÇÃO E INFORMAÇÃO
COMUNICAÇÃO,COMUNICAÇÃO E INFORMAÇÃO
SERVIÇO SOCIAL,SERVIÇO SOCIAL
ECONOMIA DOMÉSTICA,SERVIÇO SOCIAL
DESENHO INDUSTRIAL,"ARQUITETURA, URBANISMO E DESIGN"
FILOSOFIA,FILOSOFIA
SOCIOLOGIA,SOCIOLOGIA
ANTROPOLOGIA,ANTROPOLOGIA / ARQUEOLOGIA
ARQUEOLOGIA,ANTROPOLOGIA / ARQUEOLOGIA
HISTÓRIA,HISTÓRIA
GEOGRAFIA,GEOGRAFIA
PSICOLOGIA,PSICOLOGIA
EDUCAÇÃO,EDUCAÇÃO
CIÊNCIA POLÍTICA,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS
TEOLOGIA,TEOLOGIA
LINGUÍSTICA,LETRAS / LINGUÍSTICA
LETRAS,LETRAS / LINGUÍSTICA
ARTES,ARTES / MÚSICA
INTERDISCIPLINAR,INTERDISCIPLINAR
ENSINO,ENSINO
MATERIAIS,MATERIAIS
BIOTECNOLOGIA,BIOTECNOLOGIA
CIÊNCIAS AMBIENTAIS,CIÊNCIAS AMBIENTAIS
